"","Sprat","Sandeel","N.pout","Herring","Dab","Whiting","Sole","Gurnard","Plaice","Haddock","Cod","Saithe"
"1947",NA,NA,NA,5444829,NA,NA,NA,NA,NA,NA,NA,NA
"1948",NA,NA,NA,4418539,NA,NA,NA,NA,NA,NA,NA,NA
"1949",NA,NA,NA,4278054,NA,NA,NA,NA,NA,NA,NA,NA
"1950",NA,NA,NA,4242634,NA,NA,NA,NA,NA,NA,NA,NA
"1951",NA,NA,NA,4079525,NA,NA,NA,NA,NA,NA,NA,NA
"1952",NA,NA,NA,4092850,NA,NA,NA,NA,NA,NA,NA,NA
"1953",NA,NA,NA,3876624,NA,NA,NA,NA,NA,NA,NA,NA
"1954",NA,NA,NA,3638878,NA,NA,NA,NA,NA,NA,NA,NA
"1955",NA,NA,NA,3534030,NA,NA,NA,NA,NA,NA,NA,NA
"1956",NA,NA,NA,3271684,NA,NA,NA,NA,NA,NA,NA,NA
"1957",NA,NA,NA,2951670,NA,NA,65708,NA,342253,NA,NA,NA
"1958",NA,NA,NA,2399474,NA,NA,68255,NA,355200,NA,NA,NA
"1959",NA,NA,NA,3561458,NA,NA,71937,NA,362389,NA,NA,NA
"1960",NA,NA,NA,2942338,NA,NA,74376,NA,381206,NA,NA,NA
"1961",NA,NA,NA,2839855,NA,NA,106790,NA,393096,NA,NA,NA
"1962",NA,NA,NA,1986885,NA,NA,89594,NA,483299,NA,NA,NA
"1963",NA,NA,NA,2858685,NA,NA,72662,NA,441514,NA,145332,NA
"1964",NA,NA,NA,2619620,NA,NA,54407,NA,431491,NA,156998,NA
"1965",NA,NA,NA,2129513,NA,NA,43843,NA,384933,NA,192122,NA
"1966",NA,NA,NA,1625507,NA,NA,104300,NA,404361,NA,213317,NA
"1967",NA,NA,NA,1027011,NA,NA,103920,NA,473119,NA,242052,152252
"1968",NA,NA,NA,576056,NA,NA,92302,NA,460229,NA,254923,210476
"1969",NA,NA,NA,495333,NA,NA,70390,NA,404611,NA,251103,276585
"1970",NA,NA,NA,476378,NA,NA,64146,NA,371826,NA,261273,346060
"1971",NA,NA,NA,327573,NA,NA,55203,NA,360020,NA,264824,461829
"1972",NA,NA,NA,332372,NA,NA,63402,NA,363381,NA,235810,491096
"1973",NA,NA,NA,297388,NA,NA,46796,NA,302825,294702,209602,523606
"1974",605010,NA,NA,199525,NA,NA,46126,NA,302291,274524,224993,578302
"1975",602595,NA,NA,114693,NA,NA,48319,NA,304635,321618,203495,517934
"1976",494350,NA,NA,153552,NA,NA,47220,NA,327045,157849,172037,399712
"1977",336381,NA,NA,102379,NA,NA,38075,NA,325152,193714,145750,325413
"1978",387317,NA,NA,135459,NA,333448,43552,NA,327361,350331,144872,297647
"1979",618468,NA,NA,179619,NA,376353,52569,NA,306142,157408,143234,278532
"1980",424641,NA,NA,197292,NA,382786,40157,NA,321980,92555,156274,260299
"1981",302247,NA,NA,297000,NA,351450,26510,NA,290014,102738,164889,248762
"1982",180773,NA,NA,416142,NA,295988,38237,NA,280554,193876,163862,219830
"1983",87029,612596,NA,635887,NA,255229,50830,4,334752,435007,135231,219780
