species,w_inf,w_mat,beta,sigma,k_vb,gear,sel_func,l25,l50,a,b,yield_original,yield,catchability,r_max,avail_PP,h
Sardinella_longiceps,59.6,33.42,871639,3.603276,1.14,RingSeine,sigmoid_length,11.4,12.9,0.035,2.4918,226404314.3,226404314.3,0.05,2510000000,1,55.7
Rastrelliger_kanagurta,199.3,66.69,403380.4,3.276685,1.89,RingSeine,sigmoid_length,13.9,16.4,0.003926,3.23,47989987.7,47989987.7,0.05,410000000,1,138
Encrasicholina_devisi,9.1,2.09,352.1,3.453,1.5,RingSeine,sigmoid_length,7.4,7.9,0.004145,3.221,439770811.8,439770811.8,0.05,42100000000,1,39.15
Uroteuthis_duvaucelli,904.1,90.39,173.3478,0.9504638,1.4,MechTrawl,sigmoid_length,10,13,0.448,2.1012,7165987.76,7165987.76,0.05,42500000,0.5,170
Euthynnus_affinis,8562.8,909.67,1580.3778,2.07543,1.3,Gillnet,sigmoid_length,19.8,37.7,0.0254,2.889,9213051.1,9213051.1,0.02,1460000,0.5,305
Metapenaeus_dobsoni,19.7,1.78,8246,2.357,1.3,MechTrawl,sigmoid_length,7,8,0.005627,3.1,18937832.7,18937832.7,0.05,13200000000,0.5,44
Nemipterus_randalli,267,16.85,275.4253,2.61825,1.1,MechTrawl,sigmoid_length,10.5,13.5,0.018,2.898,20625366.55,20625366.55,0.05,265000000,0.5,140
Cynoglossus_macrostomus,24.2,11.04,1182.314,0.38684,0.714,MechTrawl,sigmoid_length,12,15,0.027,2.42,1799918.1,1799918.1,0.05,9700000000,0.5,26
Decapterus_russelli,98.8,31.14,40380.4,3.276685,1.08,MechTrawl,sigmoid_length,15.9,17.4,0.024,2.647,7588387.7,7588387.7,0.05,1180000000,1,62.4
Sardinella_gibbosa,76,17.76,771639,3.603276,0.96,RingSeine,sigmoid_length,11.4,12.9,0.005605,3.14,2692817.6,2692817.6,0.05,1740000000,1,50.8
Trichiurus_lepturus,2604.5,406.74,19.55936,0.6197,0.86,MechTrawl,sigmoid_length,67.9,73.9,0.001,3.029,5009383.6,5009383.6,0.05,8690000,0.5,250
Thunnus_albacares,115743.2,10276.08,79572.8,3.27,0.7,Gillnet,sigmoid_length,85,91,0.017077,2.976,2252797,2252797,0.2,29300,0.5,3000
Other_clupeoids,16.3,2.3,595.56754,4.856,1.85,RingSeine,sigmoid_length,8,10.4,0.00459,3.295,4776000,4776000,0.05,1931000,1,59.6
Caranx,7230.7,1019,9856.32,3.9242,0.24,Gillnet,sigmoid_length,16.5,21.6,0.0118,3.041,5846288,5846288,0.05,4270000,0.5,61.5
Auxis,1429,215.4,620.321,2.4254,0.61,RingSeine,sigmoid_length,11.6,14.3,0.0076,3.243,4842714,4842714,0.05,1370000,0.5,51
Thryssa,97.7,16.1,402.00325,3.256,0.76,Gillnet,sigmoid_length,15.4,18,0.007,3.019,4051927,4051927,0.05,1000000,0.5,32.5
Epenephelus,1620.3,256.1,302.568,1.6252,0.86,MechTrawl,sigmoid_length,12,15,0.058,2.516,3746740,3746740,0.05,440129,0.5,104
Coryphaena_hippurus,11597.3,925.1,22.325,2.6634,0.34,Gillnet,sigmoid_length,54,75,0.02874,2.59009,696616,696616,0.05,1548457,0.5,130
Priacanthus ,581.7,79.7,370.224,1.9521,0.58,MechTrawl,sigmoid_length,14.2,17.3,0.012372255,2.72,2892942,2892942,0.05,81214,0.5,16.8
Saurida ,1107.9,89.4,87.3335,3.62403,0.4,MechTrawl,sigmoid_length,13,16.2,0.00598,3.0743,8093062,8093062,0.05,71364,0.5,16
Leiognathus,23.2,8.8,6355.5589,2.36598,1.3,MechTrawl,sigmoid_length,7.2,8.4,0.006449417,2.864,5845550,5845550,0.05,1000000,1,49.6
Sepia,1977.9,382.2,322.2564,2.65479,1.58,MechTrawl,sigmoid_length,13.2,15.4,0.160446348,2.599,11729431,11729431,0.05,3900,0.5,221.8
Scomberomorus_commerson,13987.8,2308.1,3985.9245,1.9468,1.05,Gillnet,sigmoid_length,86.2,97.4,0.0138,2.83,9412042,9412042,0.05,1500000,0.5,398.75
