"","Sprat","Sandeel","N.pout","Herring","Dab","Whiting","Sole","Gurnard","Plaice","Haddock","Cod","Saithe"
"1947",NA,NA,NA,0.122,NA,NA,NA,NA,NA,NA,NA,NA
"1948",NA,NA,NA,0.121,NA,NA,NA,NA,NA,NA,NA,NA
"1949",NA,NA,NA,0.133,NA,NA,NA,NA,NA,NA,NA,NA
"1950",NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA
"1951",NA,NA,NA,0.168,NA,NA,NA,NA,NA,NA,NA,NA
"1952",NA,NA,NA,0.171,NA,NA,NA,NA,NA,NA,NA,NA
"1953",NA,NA,NA,0.178,NA,NA,NA,NA,NA,NA,NA,NA
"1954",NA,NA,NA,0.198,NA,NA,NA,NA,NA,NA,NA,NA
"1955",NA,NA,NA,0.196,NA,NA,NA,NA,NA,NA,NA,NA
"1956",NA,NA,NA,0.197,NA,NA,NA,NA,NA,NA,NA,NA
"1957",NA,NA,NA,0.21,NA,NA,0.216,NA,0.242,NA,NA,NA
"1958",NA,NA,NA,0.219,NA,NA,0.211,NA,0.277,NA,NA,NA
"1959",NA,NA,NA,0.239,NA,NA,0.222,NA,0.309,NA,NA,NA
"1960",NA,NA,NA,0.21,NA,NA,0.257,NA,0.325,NA,NA,NA
"1961",NA,NA,NA,0.244,NA,NA,0.307,NA,0.328,NA,NA,NA
"1962",NA,NA,NA,0.274,NA,NA,0.333,NA,0.336,NA,NA,NA
"1963",NA,NA,NA,0.197,NA,NA,0.315,NA,0.363,NA,0.49,NA
"1964",NA,NA,NA,0.286,NA,NA,0.29,NA,0.39,NA,0.53,NA
"1965",NA,NA,NA,0.472,NA,NA,0.288,NA,0.39,NA,0.58,NA
"1966",NA,NA,NA,0.484,NA,NA,0.321,NA,0.366,NA,0.59,NA
"1967",NA,NA,NA,0.642,NA,NA,0.403,NA,0.348,NA,0.62,0.352
"1968",NA,NA,NA,0.968,NA,NA,0.51,NA,0.35,NA,0.66,0.295
"1969",NA,NA,NA,0.872,NA,NA,0.552,NA,0.363,NA,0.62,0.321
"1970",NA,NA,NA,0.934,NA,NA,0.512,NA,0.37,NA,0.66,0.345
"1971",NA,NA,NA,1.276,NA,NA,0.488,NA,0.372,NA,0.75,0.373
"1972",NA,NA,NA,0.664,NA,NA,0.522,NA,0.391,NA,0.81,0.404
"1973",NA,NA,NA,0.872,NA,NA,0.561,NA,0.437,0.862,0.8,0.429
"1974",1.149,NA,NA,0.875,NA,NA,0.548,NA,0.481,0.787,0.76,0.495
"1975",1.605,NA,NA,1.041,NA,NA,0.508,NA,0.48,0.741,0.82,0.534
"1976",1.647,NA,NA,0.807,NA,NA,0.48,NA,0.449,0.872,0.87,0.599
"1977",1.439,NA,NA,0.372,NA,NA,0.476,NA,0.438,0.811,0.83,0.589
"1978",0.951,NA,NA,0.269,NA,0.674,0.487,NA,0.473,0.819,0.91,0.483
"1979",0.623,NA,NA,0.22,NA,0.663,0.506,NA,0.526,0.903,0.86,0.453
"1980",2.152,NA,NA,0.193,NA,0.753,0.529,NA,0.557,0.918,0.93,0.475
"1981",1.041,NA,NA,0.214,NA,0.752,0.549,NA,0.553,0.893,0.95,0.472
"1982",0.954,NA,NA,0.19,NA,0.618,0.576,NA,0.531,0.683,1.05,0.542
"1983",1.602,0.30969053421831,NA,0.236,NA,0.679,0.613,NA,0.506,0.568,1.05,0.651
"1984",0.917,0.326247036358419,1.322,0.304,NA,0.777,0.641,NA,0.504,0.726,0.98,0.678
"1985",1.263,0.337293177911439,1.285,0.381,NA,0.756,0.631,NA,0.545,0.848,0.95,0.704
"1986",1.04,0.175422861565075,0.98,0.358,NA,0.818,0.583,NA,0.61,0.802,1,0.736
"1987",0.35,0.123678503239286,0.957,0.344,NA,0.916,0.534,NA,0.643,0.904,0.98,0.706
"1988",1.241,0.202286726179544,0.69,0.324,NA,0.785,0.5,NA,0.617,0.912,1.01,0.712
"1989",0.302,0.273673624351255,0.719,0.31,NA,0.833,0.475,NA,0.585,0.959,1.02,0.691
"1990",1.468,0.22112764575836,0.683,0.256,NA,0.749,0.454,NA,0.594,0.909,0.96,0.658
"1991",0.685,0.193139528405379,0.649,0.279,NA,0.628,0.451,NA,0.625,0.904,0.95,0.629
"1992",0.8,0.21108094001874,0.607,0.309,NA,0.592,0.476,NA,0.622,0.89,0.95,0.611
"1993",1.557,0.105779585214965,0.638,0.349,NA,0.63,0.531,NA,0.573,0.876,0.95,0.642
"1994",0.678,0.110964989684607,0.529,0.361,NA,0.643,0.602,NA,0.543,0.944,0.96,0.574
"1995",1.439,0.10030424193782,0.401,0.312,NA,0.603,0.673,NA,0.579,0.921,0.99,0.579
"1996",1.33,0.113962912420676,0.364,0.181,NA,0.545,0.717,NA,0.657,0.82,1,0.513
"1997",0.976,0.142615305272828,0.348,0.165,NA,0.444,0.704,NA,0.68,0.804,0.490001140655556,0.444
"1998",1.645,0.146894116061955,0.322,0.188,NA,0.405,0.672,NA,0.615,0.62,0.505001875100271,0.449
"1999",0.862,0.162468016447806,0.349,0.181,NA,0.452,0.658,NA,0.552,0.726,0.525002003274867,0.474
"2000",1.422,0.149051316014117,0.324,0.181,NA,0.494,0.659,NA,0.532,0.813,0.52500343401375,0.406
"2001",1.494,0.183981564151673,0.272,0.158,NA,0.389,0.636,NA,0.533,0.883,0.490004862948078,0.381
"2002",1.577,0.129956127931272,0.335,0.148,NA,0.299,0.591,NA,0.51,0.598,0.465003134479634,0.417
"2003",1.207,0.141512767366007,0.268,0.174,NA,0.24,0.564,NA,0.443,0.371,0.455001399701749,0.431
"2004",1.845,0.127773972474575,0.237,0.217,1.2,0.201,0.56,NA,0.372,0.232,0.430001937746666,0.371
"2005",1.272,0.137016721438581,0.001,0.234,1.139,0.178,0.556,NA,0.318,0.232,0.400003358831658,0.371
"2006",1.618,0.122263299107549,0.323,0.208,1.004,0.201,0.505,NA,0.273,0.297,0.375004294289289,0.387
"2007",1.559,0.0737673145506419,0.042,0.18,0.856,0.19,0.452,NA,0.225,0.499,0.350002876209954,0.373
"2008",1.311,0.13003112576564,0.066,0.113,1.071,0.184,0.444,NA,0.182,0.421,0.340002314130235,0.426
"2009",0.846,0.148469302466991,0.098,0.067,1.209,0.213,0.478,NA,0.155,0.247,0.340000700441495,0.445
"2010",0.976,0.0980520725067285,0.109,0.071,1.225,0.244,0.512,NA,0.151,0.196,0.300000369597891,0.434
"2011",0.884,0.0920030539508975,0.087,0.092,0.756,0.22,0.501,NA,0.158,0.215,0.250000200657293,0.438
"2012",1.347,0.0239592056743833,0.172,0.148,0.75,0.224,0.469,NA,0.161,0.316,0.235000115558474,0.412
"2013",1.19,0.0749505015987823,0.284,0.174,0.923,0.22,0.433,NA,0.158,0.191,0.229999889775698,0.379
"2014",0.565,0.0598330389839958,0.292,0.177,0.699,0.252,0.413,NA,0.161,0.207,0.234999740467354,0.361
"2015",1.351,0.077208056131587,0.321,0.184,0.588,0.283,0.413,NA,0.179,0.336,0.230000477302432,0.362
"2016",2.204,0.0160530836186939,0.335,0.189,1.003,0.277,0.416,NA,0.202,0.463,0.235001618400635,0.362
"2017",1.397,0.0841640919013231,0.31,0.17,1.155,0.238,0.394,NA,0.209,0.332,0.260000916535046,0.393
"2018",1.24,0.0845412276656416,0.311,0.191,1.278,0.198,0.335,NA,0.192,0.247,0.320001359771453,0.419
"2019",1.015,0.0688333101525438,NA,0.178,1.145,0.208,0.272,NA,0.166,0.224,0.320000837801052,0.461
"2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
