"","sp","time","value"
"1","Sprat",1957,2.2396e+10
"2","Sandeel",1957,NA
"3","N.pout",1957,NA
"4","Herring",1957,NA
"5","Dab",1957,6.127e+09
"6","Whiting",1957,NA
"7","Sole",1957,1.21e+10
"8","Gurnard",1957,2e+08
"9","Plaice",1957,7.84e+10
"10","Haddock",1957,NA
"11","Cod",1957,NA
"12","Saithe",1957,NA
"13","Sprat",1958,2.4258e+10
"14","Sandeel",1958,NA
"15","N.pout",1958,NA
"16","Herring",1958,NA
"17","Dab",1958,6.342e+09
"18","Whiting",1958,NA
"19","Sole",1958,1.43e+10
"20","Gurnard",1958,2.35e+08
"21","Plaice",1958,8.82e+10
"22","Haddock",1958,NA
"23","Cod",1958,NA
"24","Saithe",1958,NA
"25","Sprat",1959,3.2405e+10
"26","Sandeel",1959,NA
"27","N.pout",1959,NA
"28","Herring",1959,NA
"29","Dab",1959,5.239e+09
"30","Whiting",1959,NA
"31","Sole",1959,1.38e+10
"32","Gurnard",1959,0
"33","Plaice",1959,1.092e+11
"34","Haddock",1959,NA
"35","Cod",1959,NA
"36","Saithe",1959,NA
"37","Sprat",1960,1.6473e+10
"38","Sandeel",1960,NA
"39","N.pout",1960,NA
"40","Herring",1960,6.962e+11
"41","Dab",1960,5.168e+09
"42","Whiting",1960,NA
"43","Sole",1960,1.86e+10
"44","Gurnard",1960,0
"45","Plaice",1960,1.173e+11
"46","Haddock",1960,NA
"47","Cod",1960,NA
"48","Saithe",1960,NA
"49","Sprat",1961,1.9656e+10
"50","Sandeel",1961,NA
"51","N.pout",1961,NA
"52","Herring",1961,6.967e+11
"53","Dab",1961,4.602e+09
"54","Whiting",1961,NA
"55","Sole",1961,2.36e+10
"56","Gurnard",1961,0
"57","Plaice",1961,1.185e+11
"58","Haddock",1961,NA
"59","Cod",1961,NA
"60","Saithe",1961,NA
"61","Sprat",1962,3.1312e+10
"62","Sandeel",1962,NA
"63","N.pout",1962,NA
"64","Herring",1962,6.278e+11
"65","Dab",1962,4.082e+09
"66","Whiting",1962,NA
"67","Sole",1962,2.69e+10
"68","Gurnard",1962,0
"69","Plaice",1962,1.254e+11
"70","Haddock",1962,NA
"71","Cod",1962,NA
"72","Saithe",1962,NA
"73","Sprat",1963,6.7668e+10
"74","Sandeel",1963,NA
"75","N.pout",1963,NA
"76","Herring",1963,7.16e+11
"77","Dab",1963,4.615e+09
"78","Whiting",1963,NA
"79","Sole",1963,2.62e+10
"80","Gurnard",1963,2.02e+08
"81","Plaice",1963,1.484e+11
"82","Haddock",1963,2.71851e+11
"83","Cod",1963,1.26753e+11
"84","Saithe",1963,NA
"85","Sprat",1964,6.8216e+10
"86","Sandeel",1964,NA
"87","N.pout",1964,NA
"88","Herring",1964,8.712e+11
"89","Dab",1964,4.982e+09
"90","Whiting",1964,NA
"91","Sole",1964,1.13e+10
"92","Gurnard",1964,0
"93","Plaice",1964,1.476e+11
"94","Haddock",1964,3.79915e+11
"95","Cod",1964,1.54662e+11
"96","Saithe",1964,NA
"97","Sprat",1965,7.2308e+10
"98","Sandeel",1965,NA
"99","N.pout",1965,NA
"100","Herring",1965,1.1688e+12
"101","Dab",1965,5.519e+09
"102","Whiting",1965,NA
"103","Sole",1965,1.7e+10
"104","Gurnard",1965,0
"105","Plaice",1965,1.402e+11
"106","Haddock",1965,2.99343e+11
"107","Cod",1965,205664195757.05
"108","Saithe",1965,NA
"109","Sprat",1966,1.0239e+11
"110","Sandeel",1966,NA
"111","N.pout",1966,NA
"112","Herring",1966,8.955e+11
"113","Dab",1966,5.862e+09
"114","Whiting",1966,NA
"115","Sole",1966,3.33e+10
"116","Gurnard",1966,0
"117","Plaice",1966,1.666e+11
"118","Haddock",1966,3.46349e+11
"119","Cod",1966,252457955257.272
"120","Saithe",1966,NA
"121","Sprat",1967,6.5845e+10
"122","Sandeel",1967,NA
"123","N.pout",1967,NA
"124","Herring",1967,6.955e+11
"125","Dab",1967,4.324e+09
"126","Whiting",1967,NA
"127","Sole",1967,3.34e+10
"128","Gurnard",1967,0
"129","Plaice",1967,1.634e+11
"130","Haddock",1967,2.46664e+11
"131","Cod",1967,301040474057.9
"132","Saithe",1967,8.83e+10
"133","Sprat",1968,6.0805e+10
"134","Sandeel",1968,NA
"135","N.pout",1968,NA
"136","Herring",1968,7.178e+11
"137","Dab",1968,3.995e+09
"138","Whiting",1968,NA
"139","Sole",1968,3.32e+10
"140","Gurnard",1968,0
"141","Plaice",1968,1.395e+11
"142","Haddock",1968,3.01821e+11
"143","Cod",1968,301341665102.38
"144","Saithe",1968,1.138e+11
"145","Sprat",1969,6.1409e+10
"146","Sandeel",1969,NA
"147","N.pout",1969,NA
"148","Herring",1969,5.467e+11
"149","Dab",1969,4.122e+09
"150","Whiting",1969,NA
"151","Sole",1969,2.76e+10
"152","Gurnard",1969,0
"153","Plaice",1969,1.428e+11
"154","Haddock",1969,9.30043e+11
"155","Cod",1969,241590639379
"156","Saithe",1969,1.306e+11
"157","Sprat",1970,4.557e+10
"158","Sandeel",1970,NA
"159","N.pout",1970,NA
"160","Herring",1970,5.631e+11
"161","Dab",1970,5.183e+09
"162","Whiting",1970,NA
"163","Sole",1970,1.97e+10
"164","Gurnard",1970,0
"165","Plaice",1970,1.6e+11
"166","Haddock",1970,8.05776e+11
"167","Cod",1970,271848444322.691
"168","Saithe",1970,2.35e+11
"169","Sprat",1971,8.9153e+10
"170","Sandeel",1971,NA
"171","N.pout",1971,NA
"172","Herring",1971,5.201e+11
"173","Dab",1971,6.546e+09
"174","Whiting",1971,NA
"175","Sole",1971,2.37e+10
"176","Gurnard",1971,0
"177","Plaice",1971,1.369e+11
"178","Haddock",1971,4.46824e+11
"179","Cod",1971,353981524473.11
"180","Saithe",1971,2.654e+11
"181","Sprat",1972,8.6704e+10
"182","Sandeel",1972,NA
"183","N.pout",1972,NA
"184","Herring",1972,4.975e+11
"185","Dab",1972,7.901e+09
"186","Whiting",1972,NA
"187","Sole",1972,2.11e+10
"188","Gurnard",1972,0
"189","Plaice",1972,1.425e+11
"190","Haddock",1972,3.53084e+11
"191","Cod",1972,359690781120.906
"192","Saithe",1972,2.619e+11
"193","Sprat",1973,2.10483e+11
"194","Sandeel",1973,NA
"195","N.pout",1973,NA
"196","Herring",1973,4.84e+11
"197","Dab",1973,9.657e+09
"198","Whiting",1973,NA
"199","Sole",1973,1.93e+10
"200","Gurnard",1973,0
"201","Plaice",1973,1.438e+11
"202","Haddock",1973,3.07594e+11
"203","Cod",1973,259886428212.738
"204","Saithe",1973,2.425e+11
"205","Sprat",1974,3.09768e+11
"206","Sandeel",1974,NA
"207","N.pout",1974,NA
"208","Herring",1974,2.751e+11
"209","Dab",1974,7.146e+09
"210","Whiting",1974,NA
"211","Sole",1974,1.8e+10
"212","Gurnard",1974,0
"213","Plaice",1974,1.575e+11
"214","Haddock",1974,3.66992e+11
"215","Cod",1974,240145435490.002
"216","Saithe",1974,2.984e+11
"217","Sprat",1975,6.51591e+11
"218","Sandeel",1975,NA
"219","N.pout",1975,NA
"220","Herring",1975,3.128e+11
"221","Dab",1975,7.033e+09
"222","Whiting",1975,NA
"223","Sole",1975,2.08e+10
"224","Gurnard",1975,1.4e+07
"225","Plaice",1975,1.952e+11
"226","Haddock",1975,4.53205e+11
"227","Cod",1975,237280911780.581
"228","Saithe",1975,2.716e+11
"229","Sprat",1976,6.09748e+11
"230","Sandeel",1976,NA
"231","N.pout",1976,NA
"232","Herring",1976,1.748e+11
"233","Dab",1976,5.917e+09
"234","Whiting",1976,NA
"235","Sole",1976,1.73e+10
"236","Gurnard",1976,7e+06
"237","Plaice",1976,1.669e+11
"238","Haddock",1976,3.75305e+11
"239","Cod",1976,233748259234.951
"240","Saithe",1976,3.44e+11
"241","Sprat",1977,3.11089e+11
"242","Sandeel",1977,NA
"243","N.pout",1977,NA
"244","Herring",1977,4.6e+10
"245","Dab",1977,6.702e+09
"246","Whiting",1977,NA
"247","Sole",1977,1.8e+10
"248","Gurnard",1977,0
"249","Plaice",1977,1.767e+11
"250","Haddock",1977,2.24516e+11
"251","Cod",1977,242316499542.988
"252","Saithe",1977,2.164e+11
"253","Sprat",1978,4.01654e+11
"254","Sandeel",1978,NA
"255","N.pout",1978,NA
"256","Herring",1978,1.1e+10
"257","Dab",1978,6.407e+09
"258","Whiting",1978,NA
"259","Sole",1978,2.03e+10
"260","Gurnard",1978,1.3e+07
"261","Plaice",1978,1.596e+11
"262","Haddock",1978,1.79375e+11
"263","Cod",1978,317108732887.315
"264","Saithe",1978,1.551e+11
"265","Sprat",1979,3.96396e+11
"266","Sandeel",1979,NA
"267","N.pout",1979,NA
"268","Herring",1979,2.51e+10
"269","Dab",1979,8.243e+09
"270","Whiting",1979,NA
"271","Sole",1979,2.26e+10
"272","Gurnard",1979,1.05e+08
"273","Plaice",1979,2.133e+11
"274","Haddock",1979,1.45019e+11
"275","Cod",1979,312387598919.692
"276","Saithe",1979,1.284e+11
"277","Sprat",1980,4.07616e+11
"278","Sandeel",1980,NA
"279","N.pout",1980,NA
"280","Herring",1980,7.0764e+10
"281","Dab",1980,8.357e+09
"282","Whiting",1980,NA
"283","Sole",1980,1.58e+10
"284","Gurnard",1980,4.5e+07
"285","Plaice",1980,1.71e+11
"286","Haddock",1980,2.22127e+11
