,Sardinella longiceps,Rastrelliger kanagurta,Encrasicholina devisi,Uroteuthis duvaucelli,Euthynnus affinis,Metapenaeus dobsoni,Nemipterus randalli,Cynoglossus macrostomus,Decapterus russelli,Sardinella gibbosa,Trichiurus lepturus,Thunnus albacares,Other clupeoids,Caranx,Auxis,Thryssa,Epenephelus,Coryphaena hippurus,Priacanthus ,Saurida ,Leiognathus,Sepia,Scomberomorus commerson
Sardinella longiceps,1,0.438,0.266,0.402,0.498,0.508,0.306,0.402,0.408,0.288,0.2,0.392,0.3,0.4,0.35,0.3,0.45,0.6,0.02,0.8,0.6,0.75,0.9
Rastrelliger kanagurta,0.438,1,0.52,0.584,0.68,1,0.614,0.65,0.68,0.524,0.2,0.428,0.4,0.45,0.42,0.5,0.6,0.3,0.02,0.5,0.2,0.4,0.3
Encrasicholina devisi,0.266,0.52,1,0.49,0.88,0.734,0.87,0.762,0.668,0.002,0.2,0.89,0.05,0.8,0.2,0.3,0.55,0.35,0.02,0.65,0.4,0.45,0.3
Uroteuthis duvaucelli,0.402,0.584,0.49,1,0.594,0.648,0.83,0.828,0.712,0.07,0.2,0.842,0.1,0.75,0.25,0.4,0.7,0.35,0.02,0.6,0.3,0.5,0.3
Euthynnus affinis,0.58,0.68,0.88,0.594,1,0.62,0.936,0.97,0.788,0.86,0.2,0.878,0.8,0.8,0.75,0.5,0.65,0.55,0.02,0.8,0.5,0.8,0.9
Metapenaeus dobsoni,0.508,1,0.734,0.648,0.62,1,0.688,0.912,0.786,0.496,0.2,0.632,0.5,0.65,0.6,0.55,0.8,0.8,0.9,0.6,0.3,0.9,0.9
Nemipterus randalli,0.306,0.614,0.87,0.83,0.936,0.688,1,0.818,0.786,1,0.2,0.902,0.8,0.9,0.85,0.3,0.7,0.3,0.03,0.55,0.1,0.4,0.3
Cynoglossus macrostomus,0.402,0.65,0.762,0.828,0.97,0.912,0.818,1,0.728,0.898,0.2,0.778,0.85,0.7,0.8,0.4,0.8,0.3,0.03,0.6,0.2,0.45,0.3
Decapterus russelli,0.408,0.68,0.668,0.712,0.788,0.786,0.786,0.728,1,0.67,0.2,0.782,0.45,0.75,0.5,0.45,0.75,0.25,0.03,0.5,0.3,0.5,0.3
Sardinella gibbosa,0.288,0.524,0.002,0.07,0.86,0.496,1,0.898,0.67,1,0.2,0.84,0.4,0.8,0.6,0.25,0.8,0.6,0.03,0.3,0.8,0.8,0.9
Trichiurus lepturus,0.41,0.546,0.578,0.598,0.576,0.52,0.968,0.578,0.712,0.56,0.36,0.794,0.2,0.2,0.2,0.2,0.2,0.1,0.01,0.15,0.3,0.2,0.2
Thunnus albacares,0.392,0.428,0.89,0.842,0.878,0.632,0.902,0.778,0.782,0.84,0.2,1,0.9,0.9,0.85,0.4,0.65,0.2,0.01,0.3,0.4,0.2,0.2
Other clupeoids,0.3,0.4,0.05,0.1,0.8,0.5,0.8,0.85,0.45,0.4,0.2,0.9,1,0.85,0.8,0.35,0.7,0.1,0.5,0.2,0.85,0.3,0.9
Caranx,0.4,0.45,0.8,0.75,0.8,0.65,0.9,0.7,0.75,0.8,0.2,0.9,0.85,1,0.5,0.9,0.6,0.5,0.8,0.65,0.9,0.75,0.55
Auxis,0.35,0.42,0.2,0.25,0.75,0.6,0.85,0.8,0.5,0.6,0.2,0.85,0.8,0.5,1,0.4,0.65,0.4,0.75,0.4,0.8,0.5,0.45
Thryssa,0.3,0.5,0.3,0.4,0.5,0.55,0.3,0.4,0.45,0.25,0.2,0.4,0.35,0.9,0.4,1,0.2,0.3,0.7,0.55,0.85,0.7,0.3
Epenephelus,0.45,0.6,0.55,0.7,0.65,0.8,0.7,0.8,0.75,0.8,0.2,0.65,0.7,0.6,0.65,0.2,1,0.15,0.3,0.4,0.8,0.9,0.55
Coryphaena hippurus,0.6,0.3,0.35,0.35,0.55,0.8,0.3,0.3,0.25,0.6,0.1,0.2,0.1,0.5,0.4,0.3,0.15,1,0.25,0.3,0.8,0.8,0.2
Priacanthus ,0.02,0.02,0.02,0.02,0.02,0.9,0.03,0.03,0.03,0.03,0.01,0.01,0.5,0.8,0.75,0.7,0.3,0.25,1,0.03,0.05,0.9,0.02
Saurida ,0.8,0.5,0.65,0.6,0.8,0.6,0.55,0.6,0.5,0.3,0.15,0.3,0.2,0.65,0.4,0.55,0.4,0.3,0.03,1,0.7,0.45,0.55
Leiognathus,0.6,0.2,0.4,0.3,0.5,0.3,0.1,0.2,0.3,0.8,0.3,0.4,0.85,0.9,0.8,0.85,0.8,0.8,0.05,0.7,1,0.65,0.25
Sepia,0.75,0.4,0.45,0.5,0.8,0.9,0.4,0.45,0.5,0.8,0.2,0.2,0.3,0.75,0.5,0.7,0.9,0.8,0.9,0.45,0.65,1,0.5
Scomberomorus commerson,0.9,0.3,0.3,0.3,0.9,0.9,0.3,0.3,0.3,0.9,0.2,0.2,0.9,0.55,0.45,0.3,0.55,0.2,0.02,0.55,0.25,0.5,1
