"","species","w_inf","w_mat","beta","sigma","r_max","k_vb"
"1","Sprat",33,13,100,1.5,Inf,0.681
"2","Sandeel",36,4,100,1.5,Inf,1
"3","N.pout",100,23,100,1.5,Inf,0.849
"4","Herring",334,99,100,1.5,Inf,0.606
"5","Dab",324,21,100,1.5,Inf,0.536
"6","Whiting",1192,75,100,1.5,Inf,0.323
"7","Sole",866,78,100,1.5,Inf,0.284
"8","Gurnard",668,39,100,1.5,Inf,0.266
"9","Plaice",2976,105,100,1.5,Inf,0.122
"10","Haddock",4316.5,165,100,1.5,Inf,0.271
"11","Cod",39851.3,1606,100,1.5,Inf,0.216
"12","Saithe",39658.6,1076,100,1.5,Inf,0.175
